SMILES,TYPE,IC50
CCOC(=O)c1csc(NC(=O)c2ccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cc2)n1,1b(DMABA) + 5b + 7a,
COC(=O)c1cc(NC(=O)c2ccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cc2)cs1,1b(DMABA) + 5b + 8a,
CCOC(=O)c1nc(NC(=O)c2ccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)cc2)cn1C,1b(DMABA) + 5b + 9a,
COC(=O)c1cc2c3c(ccc2[nH]1)N(C(=O)c1ccc(NC(=O)c2cc(NC(=O)CCCN(C)C)cn2C)cc1)CC3,1b(DMABA) + 5b + 10a,
COC(=O)c1cc2cc(NC(=O)c3ccc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cc3)ccc2s1,1b(DMABA) + 5b + 11a,
COC(=O)c1cc2cc(NC(=O)c3ccc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cc3)ccc2o1,1b(DMABA) + 5b + 12a,
CCOC(=O)c1cc2cc(NC(=O)c3ccc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cc3)ccc2[nH]1,1b(DMABA) + 5b + 13a,
COC(=O)c1nc2ccc(NC(=O)c3ccc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cc3)cc2o1,1b(DMABA) + 5b + 14a,
COC(=O)c1nc2cc(NC(=O)c3ccc(NC(=O)c4cc(NC(=O)CCCN(C)C)cn4C)cc3)ccc2[nH]1,1b(DMABA) + 5b + 15a,
COC(=O)c1cc(NC(=O)c2cccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)c2)cn1C,1b(DMABA) + 6b + 1a,
COC(=O)c1ccc(NC(=O)c2cccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)c2)cc1,1b(DMABA) + 6b + 5a,
COC(=O)c1cccc(NC(=O)c2cccc(NC(=O)c3cc(NC(=O)CCCN(C)C)cn3C)c2)c1,1b(DMABA) + 6b + 6a,
